Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
gRPC,CreateTerm,331,0,130.0,131.2259395801662,101.19909996865317,232.47280000941828,0.0,4.711438923686153,0.0,130,130,140,140,140,150,180,200,230,230,230
gRPC,DeleteTerm,37,0,130.0,129.7582756693324,110.92989996541291,206.95099997101352,0.0,0.526656314732289,0.0,130,130,130,140,140,180,210,210,210,210,210
gRPC,GetTerm,517,0,5,5.226271566115248,3.8157000089995563,21.186000027228147,0.0,7.358954451799822,0.0,5,6,6,6,6,7,8,8,21,21,21
gRPC,GetTerms,632,0,7,6.874346835951356,4.4296999694779515,32.393099972978234,0.0,8.995859213805584,0.0,7,7,8,8,9,9,10,10,32,32,32
gRPC,UpdateTerm,98,0,130.0,128.15377448877908,105.0200000172481,162.59109997190535,0.0,1.3949275363179545,0.0,130,130,130,130,140,140,150,160,160,160,160
,Aggregated,1615,0,7,42.00772860724675,3.8157000089995563,232.47280000941828,0.0,22.987836440341802,0.0,7,8,120,120,130,140,150,160,220,230,230
