Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
gRPC,CreateTerm,304,0,120.0,125.62327072277856,97.53100003581494,318.1446999660693,0.0,4.894541160869051,0.0,120,130,130,130,140,150,150,160,320,320,320
gRPC,DeleteTerm,56,0,120.0,125.80747143095194,97.4362000124529,155.53799999179319,0.0,0.901626003317983,0.0,120,130,130,140,140,150,150,160,160,160,160
gRPC,GetTerm,407,0,2,1.8266700235360214,1.2679999927058816,8.596100029535592,0.0,6.552888988400341,0.0,2,2,2,2,2,3,3,3,9,9,9
gRPC,GetTerms,536,0,2,2.5563218279866806,1.587199978530407,4.490000021178275,0.0,8.629848888900694,0.0,2,3,3,3,3,4,4,4,4,4,4
gRPC,UpdateTerm,73,0,120.0,127.60753561391763,99.46110000601038,250.13169995509088,0.0,1.1753338971823708,0.0,120,130,130,130,140,150,220,250,250,250,250
,Aggregated,1376,0,3,41.18000435977761,1.2679999927058816,318.1446999660693,0.0,22.154238938670442,0.0,3,3,120,120,130,140,140,150,250,320,320
