Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
gRPC,CreateTerm,29,0,140.0,140.0295275921837,113.22559998370707,205.94130002427846,0.0,0.9751068047598817,0.0,140,140,140,150,180,180,210,210,210,210,210
gRPC,DeleteTerm,3,0,130.0,144.08280000012988,119.27589995320886,185.1353000383824,0.0,0.10087311773378085,0.0,130,130,190,190,190,190,190,190,190,190,190
gRPC,GetTerm,42,0,6,5.976416666748091,4.073399992194027,7.822100014891475,0.0,1.412223648272932,0.0,6,6,7,7,8,8,8,8,8,8,8
gRPC,GetTerms,40,0,6,6.367030000546947,4.523199982941151,9.173300000838935,0.0,1.3449749031170781,0.0,6,7,7,8,8,9,9,9,9,9,9
gRPC,UpdateTerm,13,0,130.0,131.89640768821567,109.33910001767799,166.36199998902157,0.0,0.43711684351305036,0.0,130,130,140,140,160,170,170,170,170,170,170
,Aggregated,127,0,7,52.86180078854975,4.073399992194027,205.94130002427846,0.0,4.270295317396723,0.0,7,110,130,130,140,160,180,190,210,210,210
