Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/terms,21,21,32030.38840001682,32049.6857714357,32030.38840001682,32067.247099999804,0.0,0.41013400576639936,0.41013400576639936,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000
PUT,/terms/JSON,1,1,32057.230599981267,32057.230599981267,32057.230599981267,32057.230599981267,0.0,0.019530190750780923,0.019530190750780923,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000
PUT,/terms/JWT,1,1,32049.802499997895,32049.802499997895,32049.802499997895,32049.802499997895,0.0,0.019530190750780923,0.019530190750780923,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000
PUT,/terms/Kubernetes,1,1,32067.160599981435,32067.160599981435,32067.160599981435,32067.160599981435,0.0,0.019530190750780923,0.019530190750780923,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000
PUT,/terms/PostgreSQL,1,1,32059.538000030443,32059.538000030443,32059.538000030443,32059.538000030443,0.0,0.019530190750780923,0.019530190750780923,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000
PUT,/terms/WebSocket,1,1,32060.499700019136,32060.499700019136,32060.499700019136,32060.499700019136,0.0,0.019530190750780923,0.019530190750780923,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000
,Aggregated,26,26,32030.38840001682,32051.447407698455,32030.38840001682,32067.247099999804,0.0,0.507784959520304,0.507784959520304,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000
